name,year_drafted,gp,min,pts,fgm,fga,fg,3p_made,3pa,3p,ftm,fta,ft,oreb,dreb,reb,ast,stl,blk,tov,eff
Raul Neto,2015,81,18.5,5.9,2.2,5.2,43.1,0.8,2,39.5,0.6,0.9,74.3,0.2,1.3,1.5,2.1,0.8,0,1.4,5.8
Nemanja Bjelica,2015,60,17.9,5.1,1.8,3.9,46.8,0.8,2.1,38.4,0.7,0.9,72.7,0.8,2.7,3.5,1.4,0.4,0.3,0.8,7.7
Mario Hezonja,2015,79,17.9,6.1,2.3,5.3,43.3,0.8,2.4,34.9,0.6,0.7,90.7,0.4,1.9,2.2,1.4,0.5,0.2,1.2,6.1
Bobby Portis,2015,62,17.8,7,3,7,42.7,0.3,0.8,30.8,0.8,1.1,72.7,2,3.5,5.4,0.8,0.4,0.3,0.9,8.9
Trey Lyles,2015,80,17.3,6.1,2.4,5.5,43.8,0.6,1.6,38.3,0.7,1,69.5,0.7,3,3.7,0.7,0.3,0.2,0.8,6.9
Jerian Grant,2015,76,16.6,5.6,2,5.1,39.4,0.3,1.3,22,1.3,1.6,78,0.3,1.6,1.9,2.3,0.7,0.1,1.1,6
Marcelo Huertas,2015,53,16.4,4.5,1.8,4.3,42.2,0.3,1.2,26.2,0.5,0.5,93.1,0.3,1.4,1.7,3.4,0.5,0.1,1.5,6.2
Tyus Jones,2015,37,15.5,4.2,1.5,4.2,35.9,0.4,1.4,30.2,0.8,1.1,71.8,0.2,1.1,1.3,2.9,0.8,0.1,0.9,5.4
Chris McCullough,2015,24,15.1,4.7,1.8,4.5,40.4,0.5,1.4,38.2,0.5,1,47.8,1,1.8,2.8,0.4,1.2,0.5,0.6,5.7
Norman Powell,2015,49,14.8,5.6,2,4.7,42.4,0.7,1.8,40.4,0.9,1.1,81.1,0.3,1.9,2.3,1,0.6,0.2,0.7,6
Jonathon Simmons,2015,55,14.8,6,2.2,4.4,50.4,0.3,0.9,38.3,1.3,1.7,75,0.3,1.5,1.7,1.1,0.4,0.1,1,5.8
Rashad Vaughn,2015,70,14.3,3.1,1.2,3.8,30.5,0.6,2.1,29.3,0.2,0.2,80,0.2,1.1,1.3,0.6,0.4,0.2,0.4,2.5
Jarell Martin,2015,27,14.1,5.7,2,4.3,46.6,0,0.1,0,1.7,2.3,72.6,1.4,1.7,3.2,0.6,0.3,0.3,0.7,6.3
Richaun Holmes,2015,51,13.8,5.6,2.2,4.4,51.4,0.2,0.9,18.2,1,1.5,68.9,1.2,1.4,2.6,0.6,0.4,0.8,0.6,6.9
Cameron Payne,2015,57,12.2,5,2,4.9,41,0.6,1.9,32.4,0.3,0.4,79.2,0.2,1.3,1.5,1.9,0.6,0.1,0.8,5.4
Justin Anderson,2015,55,11.8,3.8,1.3,3.2,40.6,0.4,1.5,26.5,0.8,1,80,0.3,2.1,2.4,0.5,0.3,0.5,0.4,5
Salah Mejri,2015,34,11.7,3.7,1.4,2.3,62.8,0,0,0,0.8,1.4,58.7,1.2,2.4,3.6,0.3,0.2,1.1,0.7,6.8
Lamar Patterson,2015,35,11.3,2.4,0.8,2.3,35,0.3,1.4,24.5,0.5,0.6,72.7,0.1,1.3,1.4,1.1,0.3,0.1,0.7,2.9
Willie Reed,2015,39,10.9,4.7,1.9,3.4,57.1,0,0,0,0.8,1.4,54.5,1.3,1.9,3.1,0.3,0.1,0.8,0.4,6.5
Kelly Oubre Jr.,2015,63,10.7,3.7,1.4,3.3,42.7,0.4,1.3,31.6,0.5,0.8,63.3,0.4,1.7,2.1,0.2,0.3,0.1,0.5,3.8
Cristiano Felicio,2015,31,10.4,3.4,1.3,2.3,55.6,0,0.1,0,0.8,1.1,71.4,1,2.3,3.3,0.8,0.2,0.4,0.4,6.4
Darrun Hilliard,2015,38,10.1,4,1.4,3.4,39.7,0.5,1.3,38,0.8,1.1,72.5,0.1,1.1,1.2,0.7,0.2,0,0.5,3.3
Andrew Wiggins,2014,82,36.2,16.9,6.1,13.9,43.7,0.5,1.5,31,4.3,5.7,76,1.6,2.9,4.6,2.1,1.1,0.6,2.2,13.9
Langston Galloway,2014,45,32.4,11.8,4.5,11.4,39.9,1.4,3.9,35.2,1.4,1.7,80.8,0.8,3.4,4.2,3.3,1.2,0.3,1.4,12.3
Nerlens Noel,2014,75,30.8,9.9,4,8.7,46.2,0,0,0,1.9,3.1,60.9,2.5,5.7,8.1,1.7,1.8,1.9,1.9,15.6
Elfrid Payton,2014,82,30.4,8.9,3.7,8.6,42.5,0.1,0.5,26.2,1.4,2.6,55.1,1.3,3,4.3,6.5,1.7,0.2,2.5,13
Jabari Parker,2014,25,29.5,12.3,5.2,10.5,49,0.2,0.6,25,1.8,2.6,69.7,2,3.5,5.5,1.7,1.2,0.2,1.9,12.9
Marcus Smart,2014,67,27,7.8,2.6,7.1,36.7,1.4,4.1,33.5,1.2,1.9,64.6,0.9,2.4,3.3,3.1,1.5,0.3,1.3,9.4
Jordan Clarkson,2014,59,25,11.9,4.5,10.1,44.8,0.6,2.1,31.4,2.2,2.7,82.9,0.9,2.3,3.2,3.5,0.9,0.2,1.6,12.1
Zach LaVine,2014,77,24.7,10.1,3.7,8.8,42.2,0.7,2.2,34.1,1.9,2.3,84.2,0.4,2.4,2.8,3.6,0.7,0.1,2.5,9.4
Bojan Bogdanovic,2014,78,23.8,9,3.3,7.4,45.3,1.2,3.3,35.5,1.1,1.4,82.1,0.6,2.1,2.7,0.9,0.4,0.1,1,7.8
Adreian Payne,2014,32,23.1,6.7,2.8,6.9,41.4,0,0.3,11.1,0.9,1.4,65.2,1.5,3.6,5.1,0.9,0.6,0.3,1.4,7.6
Dante Exum,2014,82,22.2,4.8,1.8,5.1,34.9,1,3.2,31.4,0.2,0.4,62.5,0.3,1.3,1.6,2.4,0.5,0.2,1.4,4.6
KJ McDaniels,2014,62,21.8,7.9,2.8,7,39.6,0.7,2.4,28.7,1.6,2.1,75.2,1,2.2,3.2,1.2,0.7,1.1,1.7,7.6
Rodney Hood,2014,50,21.3,8.7,3.1,7.5,41.4,1.2,3.4,36.5,1.2,1.6,76.3,0.2,2.2,2.3,1.7,0.6,0.2,0.9,7.8
Jerami Grant,2014,65,21.2,6.3,1.9,5.4,35.2,0.8,2.4,31.4,1.8,3,59.1,0.8,2.3,3,1.2,0.6,1.1,1.3,6.2
Joe Ingles,2014,79,21.2,5,1.9,4.5,41.5,0.9,2.6,35.6,0.4,0.5,75,0.3,1.9,2.2,2.3,0.9,0.1,1.2,6.6
Nikola Mirotic,2014,82,20.2,10.2,3.1,7.6,40.5,1.2,3.8,31.6,2.8,3.5,80.3,0.8,4.2,4.9,1.2,0.7,0.7,1.1,11.3
Shabazz Napier,2014,51,19.8,5.1,1.7,4.5,38.2,0.8,2.3,36.4,0.9,1.1,78.6,0.3,1.9,2.2,2.5,0.8,0.1,1.6,6.2
Elijah Millsap,2014,47,19.7,5.3,1.7,5.1,34,0.6,1.9,31.1,1.2,1.8,67.4,0.6,2.6,3.2,1.2,1.2,0.3,1.4,5.9
Tarik Black,2014,63,19,6,2.5,4.3,57.5,0,0,0,1,1.9,55.1,2.3,3.6,5.8,0.7,0.3,0.4,0.8,9.8
Tyler Johnson,2014,32,18.8,5.9,2.2,5.2,41.9,0.6,1.5,37.5,1,1.5,68.1,0.4,2.1,2.5,1.3,1,0.3,0.9,6.7
Kostas Papanikolaou,2014,43,18.5,4.2,1.6,4.6,35,0.7,2.5,29.2,0.3,0.4,72.2,0.9,1.8,2.7,2,0.7,0.3,1.3,5.6
Jusuf Nurkic,2014,62,17.8,6.9,2.8,6.2,44.6,0,0,0,1.4,2.1,63.6,2,4.1,6.2,0.8,0.8,1.1,1.4,10.2
Aaron Gordon,2014,47,17,5.2,2,4.4,44.7,0.3,1,27.1,0.9,1.3,72.1,1,2.6,3.6,0.7,0.5,0.5,0.8,6.8
James Ennis III,2014,62,17,5,1.6,4,40.9,0.5,1.5,32.6,1.3,1.5,84,0.8,2,2.8,0.8,0.4,0.3,0.6,6.1
Markel Brown,2014,47,16.6,4.6,1.6,4.5,36.2,0.4,1.4,26.6,1,1.2,82.5,0.3,1.9,2.3,0.8,0.7,0.3,0.6,5
Cleanthony Early,2014,39,16.6,5.4,1.9,5.5,35.5,0.6,2.2,26.2,0.9,1.2,75,0.6,1.9,2.5,0.9,0.6,0.3,1,4.8
Nik Stauskas,2014,73,15.4,4.4,1.5,4.1,36.5,0.7,2,32.2,0.8,0.9,85.9,0.2,1.1,1.2,0.9,0.3,0.2,0.6,3.8
Damjan Rudez,2014,68,15.4,4.8,1.8,3.9,45.2,1,2.5,40.6,0.2,0.3,69.6,0.1,0.6,0.7,0.8,0.2,0.1,0.7,3.6
TJ Warren,2014,40,15.4,6.1,2.8,5.4,52.8,0.1,0.5,23.8,0.4,0.5,73.7,1,1.1,2.1,0.6,0.5,0.2,0.7,6.2
JaKarr Sampson,2014,74,15.3,5.2,2,4.7,42.2,0.4,1.7,24.4,0.9,1.3,67,0.5,1.7,2.2,1,0.5,0.3,1,5.2
PJ Hairston,2014,45,15.3,5.6,1.9,6,32.3,1.1,3.6,30.1,0.7,0.8,86.1,0.5,1.6,2,0.5,0.5,0.3,0.5,4.3
Mitch McGary,2014,32,15.2,6.3,2.8,5.2,53.3,0,0.1,0,0.8,1.3,62.5,1.7,3.5,5.2,0.4,0.5,0.5,1,9
Spencer Dinwiddie,2014,34,13.4,4.3,1.5,5,30.2,0.4,1.9,18.5,0.9,1,91.2,0.1,1.3,1.4,3.1,0.6,0.2,1,4.9
Travis Wear,2014,51,13.2,3.9,1.6,4.1,40.2,0.2,0.6,36.7,0.4,0.5,76.9,0.6,1.5,2.1,0.8,0.3,0.2,0.7,4
Furkan Aldemir,2014,41,13.2,2.3,1,1.9,51.3,0,0.1,0,0.3,0.7,48.1,1.9,2.4,4.3,0.7,0.4,0.4,0.4,6.4
Gary Harris,2014,55,13.1,3.4,1.2,3.9,30.4,0.4,1.9,20.4,0.6,0.9,74.5,0.4,0.8,1.2,0.5,0.7,0.1,0.7,2.3
Tyler Ennis,2014,33,12.5,3.7,1.6,4.4,36.1,0.4,1.3,27.9,0.2,0.2,71.4,0.2,0.8,1.1,2.2,0.6,0.1,1.3,3.5
Joffrey Lauvergne,2014,24,11.2,3.9,1.5,3.7,40.4,0.1,0.7,18.8,0.8,1.2,64.3,1.1,2.1,3.2,0.5,0.3,0.4,0.9,4.8
Kyle Anderson,2014,33,10.8,2.2,0.9,2.7,34.8,0.1,0.3,27.3,0.3,0.4,64.3,0.2,2,2.2,0.8,0.5,0.2,0.3,3.7
Johnny O'Bryant III,2014,34,10.8,2.9,1.3,3.5,36.7,0,0,0,0.4,0.8,44.4,0.8,1.1,1.9,0.5,0.1,0.1,0.7,2.2
James Young,2014,31,10.7,3.4,1.2,3.3,35.3,0.5,2.1,25.8,0.5,0.9,55.2,0.3,1.1,1.4,0.4,0.3,0.1,0.2,2.8
Cory Jefferson,2014,50,10.6,3.7,1.5,3.3,44.9,0,0.3,13.3,0.6,1.1,57.4,0.9,2,2.9,0.3,0.2,0.4,0.4,4.8
Noah Vonleh,2014,25,10.4,3.3,1.2,3,39.5,0.2,0.5,38.5,0.7,1,69.2,1.1,2.3,3.4,0.2,0.2,0.4,0.4,4.8
Michael Carter-Williams,2013,70,34.5,16.7,6.1,15.1,40.5,0.8,3,26.4,3.7,5.2,70.3,1.4,4.8,6.2,6.3,1.9,0.6,3.5,17.6
Trey Burke,2013,70,32.3,12.8,4.9,12.8,38,1.6,4.8,33,1.5,1.6,90.3,0.5,2.4,3,5.7,0.6,0.1,1.9,12.1
Victor Oladipo,2013,80,31.1,13.8,4.9,11.7,41.9,0.9,2.8,32.7,3.1,4,78,0.5,3.6,4.1,4.1,1.6,0.5,3.2,13.2
Ben McLemore,2013,82,26.7,8.8,3.1,8.3,37.6,1.2,3.6,32,1.4,1.7,80.4,0.6,2.2,2.9,1,0.6,0.2,1.2,6.7
Giannis Antetokounmpo,2013,77,24.6,6.8,2.2,5.4,41.4,0.5,1.5,34.7,1.8,2.6,68.3,1,3.4,4.4,1.9,0.8,0.8,1.6,9.1
Tim Hardaway Jr.,2013,81,23.1,10.2,3.6,8.5,42.8,1.6,4.4,36.3,1.3,1.6,82.8,0.2,1.3,1.5,0.8,0.5,0.1,0.6,7.4
Hollis Thompson,2013,77,22.6,6,2.2,4.8,46,0.9,2.2,40.1,0.7,0.9,71.2,0.9,2.3,3.2,0.9,0.7,0.2,0.8,7.3
Nate Wolters,2013,58,22.6,7.2,2.9,6.7,43.7,0.3,1.1,29,1,1.6,65.6,0.6,2,2.6,3.2,0.6,0.3,1,8.6
Ryan Kelly,2013,59,22.2,8,2.7,6.3,42.3,0.8,2.4,33.8,1.9,2.3,81.5,0.7,3,3.7,1.6,0.5,0.8,0.8,9.8
Kelly Olynyk,2013,70,20,8.7,3.3,7.2,46.6,0.6,1.6,35.1,1.4,1.7,81.1,2,3.2,5.2,1.6,0.5,0.4,1.5,10.7
Ray McCallum,2013,45,19.9,6.2,2.5,6.7,37.7,0.5,1.3,37.3,0.7,1,74.4,0.4,1.4,1.8,2.7,0.5,0.2,0.9,6.1
Kentavious Caldwell-Pope,2013,80,19.8,5.9,2.3,5.8,39.6,0.7,2.3,31.9,0.6,0.8,77,0.5,1.5,2,0.7,0.9,0.1,0.3,5.6
Pero Antic,2013,50,18.5,7,2.5,5.9,41.8,1.1,3.4,32.7,1,1.3,75.8,1.1,3,4.2,1.2,0.4,0.2,1.1,8.2
Mason Plumlee,2013,70,18.2,7.4,2.8,4.3,65.9,0,0,0,1.7,2.8,62.6,1.4,3,4.4,0.9,0.7,0.8,1.1,10.6
Matthew Dellavedova,2013,72,17.7,4.7,1.7,4.1,41.2,0.8,2.2,36.8,0.5,0.7,79.2,0.4,1.3,1.7,2.6,0.5,0.1,0.8,6.2
Cody Zeller,2013,82,17.3,6,2.1,4.9,42.6,0,0,0,1.8,2.4,73,1.4,2.9,4.3,1.1,0.5,0.5,1.1,7.8
Nick Calathes,2013,71,16.5,4.9,2,4.4,45.7,0.3,0.9,31.1,0.6,1,61.1,0.3,1.6,1.9,2.9,0.9,0.1,1.4,6.6
Tony Snell,2013,77,16,4.5,1.7,4.4,38.4,0.7,2.3,32,0.4,0.5,75.6,0.2,1.4,1.6,0.9,0.4,0.2,0.6,4.2
Phil Pressey,2013,75,15.1,2.8,1,3.4,30.8,0.4,1.4,26.4,0.4,0.6,64.4,0.3,1.1,1.4,3.2,0.9,0.1,1.2,4.7
Steven Adams,2013,81,14.8,3.3,1.1,2.3,50.3,0,0,0,1,1.7,58.1,1.8,2.3,4.1,0.5,0.5,0.7,0.9,6.4
Gorgui Dieng,2013,60,13.6,4.8,1.9,3.8,49.8,0,0,100,1,1.6,63.4,1.7,3.3,5,0.7,0.5,0.8,0.9,8.4
Vitor Faverani,2013,37,13.2,4.4,1.7,4,43.5,0.3,1.1,30,0.6,1,64.9,1.1,2.3,3.5,0.4,0.4,0.7,1.1,5.7
Dennis Schroder,2013,49,13.1,3.7,1.5,3.8,38.3,0.2,0.9,23.8,0.6,0.9,67.4,0.1,1.1,1.2,1.9,0.3,0,1.2,3.3
Anthony Bennett,2013,52,12.8,4.2,1.5,4.3,35.6,0.3,1,24.5,0.8,1.3,63.8,0.9,2,3,0.3,0.4,0.1,0.9,3.9
Dewayne Dedmon,2013,31,12.6,3.1,1.2,2.7,45.8,0,0,0,0.7,1,65.6,1.2,2.9,4.1,0.2,0.2,0.7,0.6,5.9
CJ McCollum,2013,38,12.5,5.3,1.9,4.7,41.6,0.8,2.1,37.5,0.6,0.9,67.6,0.2,1.1,1.3,0.7,0.4,0.1,0.9,3.7
Robbie Hummel,2013,53,12.4,3.4,1.3,3.3,37.9,0.6,1.7,36,0.3,0.3,93.8,0.7,1.8,2.5,0.4,0.3,0,0.2,4.4
Jeff Withey,2013,58,11.8,3.3,1.2,2.2,53.5,0,0,0,0.9,1.3,71.2,0.8,1.7,2.6,0.4,0.3,0.9,0.3,5.7
Brandon Davies,2013,51,11.3,2.8,1.1,2.5,42.2,0,0.2,20,0.7,1,64.2,0.7,1.4,2.1,0.5,0.5,0.2,0.7,3.6
Archie Goodwin,2013,52,10.3,3.7,1.5,3.2,45.5,0.1,0.7,13.9,0.7,1.1,67.3,0.5,1.2,1.7,0.4,0.4,0.2,0.8,3.4
Andre Roberson,2013,40,10,1.9,0.8,1.7,48.5,0.1,0.3,15.4,0.2,0.3,70,0.9,1.5,2.4,0.4,0.5,0.3,0.5,3.9
Miroslav Raduljica,2013,48,9.7,3.8,1.4,2.6,54,0,0,0,0.9,1.1,81.8,1.1,1.1,2.3,0.5,0.1,0.3,0.6,4.9
Rudy Gobert,2013,45,9.6,2.3,0.8,1.6,48.6,0,0,0,0.7,1.4,49.2,1.1,2.3,3.4,0.2,0.2,0.9,0.7,4.7
Gal Mekel,2013,31,9.4,2.4,1,2.8,34.9,0.2,0.6,25,0.3,0.4,66.7,0.2,0.7,0.9,2,0.1,0,1,2.5
Peyton Siva,2013,24,9.3,2.3,0.8,2.4,31.6,0.3,1,28,0.5,0.6,73.3,0.1,0.5,0.6,1.4,0.4,0,0.8,2.1
Reggie Bullock,2013,43,9.2,2.7,1,2.8,35.5,0.5,1.7,30.1,0.2,0.2,77.8,0.3,1,1.3,0.3,0.2,0,0.3,2.3
Otto Porter,2013,37,8.6,2.1,0.9,2.5,36.3,0.1,0.6,19,0.2,0.3,66.7,0.6,1,1.5,0.3,0.2,0,0.4,2.1
Alex Len,2013,42,8.6,2,0.8,1.9,42.3,0,0,0,0.5,0.7,64.5,0.9,1.4,2.4,0.1,0.1,0.4,0.6,3.1
Solomon Hill,2013,28,8.1,1.7,0.6,1.4,42.5,0.3,0.8,30.4,0.2,0.3,85.7,0.3,1.1,1.5,0.4,0.2,0.1,0.5,2.5
Shabazz Muhammad,2013,37,7.8,3.9,1.5,3.4,46,0.1,0.3,27.3,0.7,1.1,65,0.6,0.8,1.4,0.2,0.2,0,0.4,3.1
Toure' Murry,2013,51,7.3,2.7,1.1,2.5,43.4,0.1,0.2,41.7,0.5,0.8,59,0.3,0.6,0.9,1,0.4,0,0.7,2.5
Gigi Datome,2013,34,7,2.4,1,2.9,35.1,0.2,1.1,17.9,0.2,0.3,80,0.4,0.9,1.4,0.3,0.2,0,0.3,2.1
Dionte Christmas,2013,31,6.4,2.3,0.7,2,35.5,0.3,1,29,0.6,0.8,75,0.4,0.8,1.2,0.3,0.1,0.1,0.2,2.3
Nemanja Nedovic,2013,24,5.9,1.1,0.3,1.6,20.5,0.1,0.8,16.7,0.3,0.3,87.5,0.1,0.5,0.6,0.5,0,0,0.5,0.4
Damian Lillard,2012,82,38.6,19,6.7,15.7,42.9,2.3,6.1,36.8,3.3,3.9,84.4,0.5,2.6,3.1,6.5,0.9,0.2,3,17.3
Bradley Beal,2012,56,31.2,13.9,5,12.3,41,1.6,4.2,38.6,2.2,2.8,78.6,0.8,3,3.8,2.4,0.9,0.5,1.6,12.1
Anthony Davis,2012,64,28.8,13.5,5.5,10.6,51.6,0,0.1,0,2.6,3.5,75.1,2.6,5.6,8.2,1,1.2,1.8,1.4,18.2
Dion Waiters,2012,61,28.8,14.7,5.5,13.4,41.2,1,3.3,31,2.6,3.5,74.6,0.4,2.1,2.4,3,1,0.3,2,10.6
Kyle Singler,2012,82,28,8.8,3.4,7.8,42.8,0.9,2.4,35,1.2,1.5,80.6,1.3,2.7,4,0.9,0.7,0.5,1.2,8.9
Tyler Zeller,2012,77,26.4,7.9,3.2,7.3,43.8,0,0.1,0,1.6,2,76.4,2.1,3.6,5.7,1.2,0.5,0.9,1.2,10.4
Maurice Harkless,2012,76,26,8.2,3.4,7.4,46.1,0.4,1.5,27.4,1,1.7,57,1.6,2.8,4.4,0.7,1.2,0.8,0.9,9.6
Michael Kidd-Gilchrist,2012,78,26,9,3.6,7.9,45.8,0,0.1,22.2,1.8,2.4,74.9,1.7,4.2,5.8,1.5,0.7,0.9,1.3,11.8
Harrison Barnes,2012,81,25.4,9.2,3.4,7.8,43.9,0.6,1.8,35.9,1.8,2.3,75.8,0.7,3.5,4.1,1.2,0.6,0.2,1.3,9.2
Jonas Valanciunas,2012,62,23.9,8.9,3.3,5.9,55.7,0,0,0,2.4,3,78.9,2,4,6,0.7,0.3,1.3,1.5,12.4
Alexey Shved,2012,77,23.9,8.6,3.1,8.2,37.2,1.1,3.7,29.5,1.4,1.9,72,0.5,1.7,2.3,3.7,0.7,0.3,1.9,8
Austin Rivers,2012,61,23.2,6.2,2.4,6.4,37.2,0.5,1.4,32.6,1,1.8,54.6,0.3,1.5,1.8,2.1,0.4,0.1,1.2,4.6
Andre Drummond,2012,60,20.7,7.9,3.5,5.7,60.8,0,0,50,1,2.7,37.1,2.8,4.8,7.6,0.5,1,1.6,0.9,13.8
Jared Sullinger,2012,45,19.8,6,2.5,5,49.3,0,0.1,20,1,1.4,74.6,2,3.8,5.9,0.8,0.5,0.5,0.6,10.1
Jeff Taylor,2012,77,19.6,6.1,2.2,5.2,43.1,0.7,2,34.4,1,1.3,72.8,0.7,1.3,1.9,0.8,0.6,0.2,0.6,5.8
Meyers Leonard,2012,69,17.5,5.5,2.2,4,54.5,0,0.1,42.9,1,1.3,80.9,1.2,2.5,3.7,0.5,0.2,0.6,0.7,7.6
Patrick Beverley,2012,41,17.4,5.6,1.9,4.6,41.8,0.9,2.3,37.5,0.8,1,82.9,1.1,1.6,2.7,2.9,0.9,0.5,1.1,8.6
Jae Crowder,2012,78,17.3,5,1.8,4.7,38.4,0.8,2.5,32.8,0.6,0.9,64.4,0.4,1.9,2.4,1.2,0.8,0.2,0.6,5.8
Brian Roberts,2012,78,17,7.1,2.7,6.6,41.7,0.8,2,38.6,0.9,1,90.9,0.2,1,1.2,2.8,0.5,0,0.9,6.9
Terrence Ross,2012,73,17,6.4,2.5,6.3,40.7,0.9,2.7,33.2,0.4,0.6,71.4,0.5,1.5,2,0.7,0.6,0.2,0.7,5.3
Andrew Nicholson,2012,75,16.7,7.8,3.4,6.5,52.7,0,0,0,1,1.3,79.8,0.9,2.5,3.4,0.6,0.3,0.4,1.1,8.2
Victor Claver,2012,49,16.6,3.8,1.5,3.9,39.2,0.5,1.8,28.7,0.3,0.6,46.7,0.6,1.8,2.4,0.9,0.5,0.2,0.9,4.3
Pablo Prigioni,2012,78,16.2,3.5,1.3,2.8,45.5,0.7,1.7,39.6,0.3,0.3,88,0.5,1.3,1.8,3,0.9,0,1.1,6.6
Chris Copeland,2012,56,15.4,8.7,3.3,6.8,47.9,1.1,2.5,42.1,1.1,1.5,75.9,0.6,1.5,2.1,0.5,0.3,0.2,0.9,7
Thomas Robinson,2012,70,15.1,4.8,2,4.6,43,0,0,0,0.8,1.6,52.3,1.7,2.8,4.5,0.7,0.6,0.4,1.3,6.3
John Jenkins,2012,61,14.8,6.1,2.1,4.8,44.6,0.9,2.3,38.4,1,1.1,84.3,0.3,1.3,1.5,0.9,0.2,0.2,0.7,5.4
Kendall Marshall,2012,48,14.6,3,1.2,3.1,37.1,0.5,1.5,31.5,0.2,0.3,57.1,0.1,0.8,0.9,3,0.5,0.1,1.2,4.1
Festus Ezeli,2012,78,14.4,2.4,0.9,2.2,43.8,0,0,0,0.6,1,53.1,1.8,2.2,4,0.3,0.3,0.9,0.8,5.5
Draymond Green,2012,79,13.4,2.9,1.1,3.3,32.7,0.2,0.8,20.9,0.6,0.7,81.8,0.7,2.6,3.3,0.7,0.5,0.3,0.7,4.7
Darius Miller,2012,52,13.3,2.3,0.8,2.1,40.7,0.4,1.1,39.3,0.2,0.2,100,0.2,1.3,1.5,0.8,0.3,0.2,0.4,3.5
John Henson,2012,63,13.1,6,2.6,5.3,48.2,0,0,0,0.9,1.7,53.3,1.8,2.9,4.7,0.5,0.3,0.7,0.8,7.9
Nando De Colo,2012,72,12.8,3.8,1.5,3.3,43.6,0.4,1.1,37.8,0.5,0.6,79.5,0.3,1.6,1.9,1.9,0.6,0.1,1.1,5.2
DeQuan Jones,2012,63,12.7,3.7,1.5,3.5,43.6,0.1,0.6,25.7,0.5,0.8,66.7,0.3,1.4,1.7,0.3,0.3,0.3,0.5,3.6
Doron Lamb,2012,47,12.3,3.3,1.3,3.5,36.8,0.3,0.8,37.8,0.4,0.7,58.8,0.2,0.8,1,0.7,0.3,0,0.6,2.2
Will Barton,2012,73,12.2,4,1.6,4.2,38.2,0.1,0.9,13.8,0.7,0.9,76.9,0.5,1.5,2,0.8,0.5,0.1,0.8,3.8
Donatas Motiejunas,2012,44,12.2,5.7,2.2,4.8,45.5,0.5,1.9,28.9,0.7,1.2,62.7,0.8,1.3,2.1,0.7,0.2,0.2,0.8,5
Orlando Johnson,2012,51,12.1,4,1.4,3.5,40,0.7,1.8,38.3,0.5,0.6,71.9,0.4,1.8,2.2,0.9,0.2,0.2,0.6,4.6
Arnett Moultrie,2012,47,11.5,3.7,1.7,2.9,58.2,0,0,0,0.4,0.6,64.3,1.6,1.5,3.1,0.2,0.4,0.2,0.4,5.8
Evan Fournier,2012,38,11.3,5.3,2,4,49.3,0.6,1.4,40.7,0.8,1,76.9,0.2,0.8,0.9,1.2,0.5,0,0.8,4.8
Kyle O'Quinn,2012,57,11.2,4.1,1.8,3.5,51.3,0,0,0,0.5,0.8,66.7,1.1,2.5,3.7,0.9,0.2,0.5,0.7,6.7
Bernard James,2012,46,9.9,2.8,1.2,2.2,51.5,0,0,0,0.5,0.9,61,1.1,1.7,2.8,0.1,0.3,0.8,0.4,5.1
Kim English,2012,41,9.9,2.9,1,2.7,37.5,0.3,1.2,28,0.5,0.7,72.4,0.2,0.7,0.9,0.6,0.4,0.1,0.5,2.5
Mirza Teletovic,2012,53,9.4,3.5,1.3,3.5,38.4,0.7,2,34.3,0.2,0.2,81.8,0.6,1.2,1.8,0.4,0.3,0.1,0.4,3.6
Mike Scott,2012,40,9.4,4.6,1.8,3.7,47.6,0,0,0,1.1,1.4,76.8,1,1.8,2.8,0.3,0.1,0.1,0.5,5
Joel Freeland,2012,51,9.4,2.6,1.1,2.8,40.8,0,0,0,0.4,0.5,66.7,0.8,1.5,2.3,0.3,0.3,0.2,0.4,3.5
Marquis Teague,2012,48,8.2,2.1,0.9,2.4,38.1,0.1,0.5,17.4,0.2,0.3,56.3,0.1,0.9,0.9,1.3,0.2,0.1,0.7,2.3
Tony Wroten,2012,35,7.8,2.6,0.9,2.5,38.4,0.1,0.5,25,0.6,0.8,72.4,0.4,0.4,0.8,1.2,0.2,0.1,0.8,2.4
Maalik Wayns,2012,27,7.5,2.8,1,3.3,29.5,0.3,1.1,22.6,0.6,0.7,89.5,0,0.2,0.3,1,0.2,0,0.6,1.4
Perry Jones III,2012,38,7.4,2.3,1,2.6,39.4,0,0.1,0,0.3,0.4,66.7,0.3,1.3,1.6,0.3,0.1,0.2,0.4,2.4
Jeremy Lamb,2012,23,6.4,3.1,1,3,35.3,0.4,1.3,30,0.6,0.6,100,0.2,0.6,0.8,0.2,0.1,0.1,0.3,2.1
Ricky Rubio,2011,41,34.2,10.6,3.4,9.5,35.7,0.8,2.3,34,3.1,3.8,80.3,0.5,3.7,4.2,8.2,2.2,0.2,3.2,15.4
Brandon Knight,2011,66,32.3,12.8,4.8,11.7,41.5,1.6,4.2,38,1.6,2.1,75.9,0.5,2.7,3.2,3.8,0.7,0.1,2.6,10.8
Kyrie Irving,2011,51,30.5,18.5,6.9,14.6,46.9,1.4,3.6,39.9,3.4,3.8,87.2,0.9,2.9,3.7,5.4,1.1,0.4,3.1,17.7
MarShon Brooks,2011,56,29.4,12.6,4.9,11.4,42.8,0.8,2.7,31.3,2,2.6,76.4,1.3,2.3,3.6,2.3,0.9,0.3,2.1,10.5
