name,hall_of_fame_class,year_drafted,gp,min,pts,fgm,fga,fg,3p_made,3pa,3p,ftm,fta,ft,oreb,dreb,reb,ast,stl,blk,tov,eff
John Paxson,,1983,49,9.3,2.9,1.2,2.8,44.5,0.1,0.4,18.2,0.3,0.5,61.5,0.1,0.6,0.7,3,0.2,0,0.7,4.4
Jon Sundvold,,1983,73,17.6,6.9,3,6.7,44.5,0.1,0.5,24.3,0.9,1,88.9,0.3,0.9,1.2,3.3,0.4,0,1.1,6.9
Larry Micheaux,,1983,39,8.5,3.1,1.3,2.3,54.4,0,0,0,0.5,1,53.8,1,1.9,2.9,0.5,0.5,0.3,0.5,5.2
Leroy Combs,,1983,48,9.3,4.5,1.7,3.4,49.7,0,0.1,0,1.2,1.9,61.5,0.4,0.8,1.2,0.8,0.5,0.4,1,4
Mitchell Wiggins,,1983,82,25.9,12.4,4.9,10.9,44.8,0.1,0.4,24.1,2.6,3.5,74.2,1.7,2.3,4,2.3,1.3,0.1,1.7,11.5
Pace Mannion,,1983,57,8.2,2.1,0.9,2.2,39.7,0.1,0.2,23.1,0.3,0.4,78.3,0.4,0.6,1,0.8,0.4,0,0.4,2.6
Paul Thompson,,1983,82,21.1,9,3.8,8.1,46.7,0.1,0.5,23.1,1.4,1.8,77.2,1.5,2.3,3.8,1.5,0.8,0.5,0.9,10
Ralph Sampson,2012,1983,82,32.8,21,8.7,16.7,52.3,0,0,25,3.5,5.3,66.1,3.6,7.6,11.1,2,0.8,2.4,3.6,24
Randy Breuer,,1983,57,8.3,2.9,1.2,3.1,38.4,0,0,0,0.6,0.8,69.6,0.8,1.1,1.9,0.3,0.2,0.7,0.6,3.2
Randy Wittman,,1983,78,13.7,4.5,2.1,4.1,50.3,0,0.1,40,0.4,0.6,60.9,0.2,0.7,0.9,0.9,0.2,0,0.4,3.9
Rod Foster,,1983,80,17.8,8.3,3.3,7.3,44.8,0.3,1.1,26.2,1.5,1.9,78.7,0.5,1,1.5,2.2,0.7,0.1,1.4,7
Rodney McCray,,1983,79,26.3,10.8,4.2,8.5,49.9,0,0.1,25,2.3,3.2,73.1,2.2,3.5,5.7,2.2,0.7,0.7,1.5,13.4
Roy Hinson,,1983,80,23.2,5.5,2.3,4.6,49.6,0,0,0,0.9,1.5,59,2.2,4.1,6.2,0.9,0.4,1.8,1.4,10.5
Russell Cross,,1983,45,7.9,3.7,1.4,2.5,57.1,0,0,0,0.8,2,41.8,0.8,1,1.8,0.5,0.3,0.2,0.4,3.8
Scooter McCray,,1983,47,11.1,2.7,1,2.6,38.8,0,0,0,0.7,1.1,70,1,1.5,2.4,0.9,0.2,0.4,0.7,4.1
Sedale Threatt,,1983,45,10.3,3.3,1.4,3.3,41.9,0,0.2,12.5,0.5,0.6,82.1,0.4,0.5,0.9,0.9,0.3,0,0.7,2.7
Sidney Green,,1983,49,13.6,5.2,2,4.7,43.9,0,0,0,1.1,1.6,71.4,1.2,2.4,3.6,0.5,0.4,0.3,1.2,5.7
Sidney Lowe,,1983,78,15.9,4.2,1.4,3.3,41.3,0,0.2,11.1,1.4,1.8,77.7,0.4,1.2,1.6,3.4,1.2,0.1,1.4,6.7
Steve Stipanovich,,1983,81,30,12,4.8,10.1,48,0,0.2,18.8,2.3,3,75.3,1.4,5.5,6.9,2.1,0.9,0.8,2,14.8
Stewart Granger,,1983,56,13.2,4.5,1.7,4,42.9,0.1,0.2,30.8,0.9,1.3,75.7,0.1,0.8,1,2.4,0.4,0,1,4.7
Thurl Bailey,,1983,81,24.8,8.5,3.7,7.3,51.2,0,0,0,1.1,1.4,75.2,1.4,4.3,5.7,1.6,0.5,1.5,1.3,12.6
Alvin Robertson,,1984,79,21.3,9.2,3.8,7.6,49.8,0.1,0.1,36.4,1.6,2.1,73.4,1.5,1.9,3.4,3.5,1.6,0.3,2.1,11.4
Antoine Carr,,1984,62,19.3,8,3.2,6,52.8,0,0.1,33.3,1.6,2.1,78.9,1.3,2.5,3.7,1.3,0.5,1.3,1.7,9.8
Bernard Thompson,,1984,59,9.1,3.3,1.3,3.6,37.3,0,0.1,0,0.7,0.9,76.5,0.6,0.7,1.3,0.9,0.5,0.2,0.6,3.2
Charles Barkley,2006,1984,82,28.6,14,5.2,9.5,54.5,0,0.1,16.7,3.6,4.9,73.3,3.2,5.3,8.6,1.9,1.2,1,2.5,18.4
Charles Jones,,1984,78,20.1,8.4,3,5.8,52,0,0.1,0,2.3,3.6,64.8,1.8,3.3,5.1,1.6,0.6,0.8,1.8,10.5
Charlie Sitton,,1984,43,7.1,2.1,0.9,2.2,41.5,0,0,0,0.3,0.6,52,0.6,0.8,1.4,0.6,0.2,0.1,0.4,2.4
Chuck Aleksinas,,1984,74,15.1,5.1,2.2,4.6,47.8,0,0,0,0.7,1,73.3,1.2,2.5,3.6,0.5,0.2,0.2,1,6
Cory Blackwell,,1984,60,9.2,3.4,1.5,4,36.7,0,0,0,0.5,0.9,50.9,0.7,0.9,1.6,0.4,0.4,0.1,0.7,2.2
Devin Durrant,,1984,59,12.8,5.1,1.9,4.6,41.6,0,0.1,0,1.2,1.7,70.6,0.8,1.3,2.1,1.4,0.3,0.2,1.3,4.5
Eddielee Wilkins,,1984,54,17,5.5,2.1,4.3,49.8,0,0,0,1.2,2.3,54.1,1.6,3.3,4.9,0.3,0.4,0.3,1.2,7
Frank Brickowski,,1984,78,14.3,4.9,1.9,3.9,49.2,0,0.1,0,1.1,1.6,66.9,1,2.4,3.3,1.3,0.4,0.2,1.3,6.4
Gary Plummer,,1984,66,10.6,3.8,1.4,3.5,39.7,0,0.1,25,1,1.4,70.7,0.8,1.2,2,0.4,0.2,0.2,0.8,3.4
Hakeem Olajuwon,2008,1984,82,35.5,20.6,8.3,15.3,53.8,0,0,0,4.1,6.7,61.3,5.4,6.5,11.9,1.4,1.2,2.7,2.9,25.2
Jay Humphries,,1984,80,25.8,8.8,3.5,7.8,44.6,0.1,0.3,20,1.8,2.1,82.9,0.4,1.7,2.1,4.4,1.3,0.1,2.1,9.9
Jeff Turner,,1984,72,19.8,5.8,2.4,5.2,45.4,0,0,0,1.1,1.3,85.9,1.2,1.8,3,1.5,0.4,0.1,1.3,6.6
Jerome Kersey,,1984,77,12.4,6.1,2.3,4.8,47.8,0,0,0,1.5,2.4,64.6,1.2,1.4,2.7,0.8,0.6,0.4,0.9,6.4
Jim Petersen,,1984,60,11.9,3.2,1.2,2.4,48.6,0,0,-,0.8,1.1,75.8,0.7,1.7,2.5,0.5,0.2,0.5,1.2,4.2
John Stockton,2009,1984,82,18.2,5.6,1.9,4.1,47.1,0,0.1,18.2,1.7,2.4,73.6,0.3,1,1.3,5.1,1.3,0.1,1.8,8.8
Ken Bannister,,1984,75,18.7,6.8,2.8,5.9,47,0,0,0,1.2,2.6,47.4,1.4,3,4.4,0.5,0.5,0.5,1.9,6.4
Kenny Fields,,1984,51,10.5,3.8,1.6,3.7,44,0,0,0,0.5,0.7,75,0.8,0.8,1.6,0.7,0.2,0.2,0.6,3.7
Kevin Willis,,1984,82,21.8,9.3,3.9,8.4,46.7,0,0.1,22.2,1.5,2.2,65.7,2.2,4.2,6.4,0.4,0.4,0.6,1.3,10.6
Lancaster Gordon,,1984,63,10.8,4.1,1.7,4.6,38.3,0,0.1,22.2,0.6,0.8,75.5,0.4,0.6,1,1.4,0.5,0.1,1.1,3
Leon Wood,,1984,38,7.1,3.2,1.3,3.5,37.3,0.1,0.8,13.3,0.5,0.7,69.2,0.1,0.4,0.5,1.2,0.2,0,0.7,2
Mel Turpin,,1984,79,24.7,10.6,4.6,9,51.1,0,0,-,1.4,1.8,78.4,2,3.8,5.7,0.5,0.5,1.1,1.5,12.1
Michael Cage,,1984,75,21.5,7.1,2.9,5.3,54.3,0,0,0,1.3,1.8,73.7,1.7,3.5,5.2,0.7,0.6,0.4,1.1,10
Michael Holton,,1984,74,23.8,8.4,3.5,7.8,44.6,0.2,0.6,31.1,1.3,1.6,81.4,0.4,1.4,1.8,2.7,0.8,0.1,1.7,7.5
Michael Jordan,2009,1984,82,38.3,28.2,10.2,19.8,51.5,0.1,0.6,17.3,7.7,9.1,84.5,2,4.5,6.5,5.9,2.4,0.8,3.5,29.2
Othell Wilson,,1984,74,17,4.4,1.8,3.9,46,0,0.2,18.8,0.7,1,71.1,0.5,1.3,1.8,2.9,1,0.2,1.3,6.6
Otis Thorpe,,1984,82,23.4,12.8,5,8.4,60,0,0,0,2.8,4.5,62,2.3,4.5,6.8,1.4,0.4,0.5,2.3,14.5
Ozell Jones,,1984,67,13.3,3.7,1.6,2.7,58.9,0,0,0,0.5,1.2,39.8,1,2.6,3.6,0.8,0.5,0.8,0.9,6.6
Peter Thibeaux,,1984,51,9,4.5,1.8,3.8,48.2,0,0,0,0.8,1.3,64.2,0.6,0.8,1.4,0.3,0.2,0.3,0.7,3.6
Rick Carlisle,,1984,38,4.7,1.8,0.7,1.8,38.8,0,0.1,0,0.4,0.4,88.2,0.2,0.3,0.6,0.7,0.1,0,0.5,1.4
Ron Anderson,,1984,36,14.4,5.8,2.3,5.4,43.1,0,0.1,50,1.1,1.4,82,1.1,1.4,2.4,0.9,0.3,0.2,0.9,5.4
Ron Cavenall,,1984,53,12.3,1.5,0.5,1.6,32.6,0,0,0,0.4,0.7,56.4,1,2.1,3.1,0.4,0.2,0.8,0.8,3.7
Sam Bowie,,1984,76,29.2,10,3.9,7.3,53.7,0,0,0,2.1,3,71.1,2.7,5.9,8.6,2.8,0.7,2.7,2.3,18.3
Sam Perkins,,1984,82,28.3,11,4.2,9,47.1,0.1,0.4,25,2.4,3,82,2.3,5.1,7.4,1.6,0.8,0.8,1.2,15
Steve Burtt,,1984,47,8.9,4.2,1.5,4,38.3,0,0,0,1.1,1.6,68.8,0.2,0.4,0.6,0.4,0.5,0.1,0.7,2.1
Steve Colter,,1984,78,18.7,7.1,2.8,6.1,45.3,0.3,0.9,35.1,1.3,1.7,75.4,0.5,1.4,1.9,3.1,1,0.1,1.4,8.1
Stuart Gray,,1984,52,7.5,2,0.7,1.8,38,0,0,0,0.6,0.9,68.1,0.6,1.8,2.4,0.3,0.2,0.3,1,2.7
Terence Stansbury,,1984,74,17.3,7.1,2.8,6.2,45.9,0.1,0.3,16,1.4,1.7,81,0.5,1,1.5,1.7,0.6,0.2,1.1,6.4
Tim McCormick,,1984,78,20.3,9.3,3.4,6.2,55.7,0,0,0,2.4,3.4,71.5,1.9,3.2,5.1,1,0.2,0.4,1.5,10.9
Tom Scheffler,,1984,39,6.9,1.3,0.5,1.3,41.2,0,0,-,0.3,0.5,50,0.5,1.5,1.9,0.3,0.2,0.3,0.4,2.6
Tony Brown,,1984,82,19.3,6.6,2.6,5.7,46,0,0.1,0,1.4,2.1,67.8,1.8,1.7,3.5,1.9,0.7,0.1,1.4,7.8
Tony Campbell,,1984,56,11.2,5.6,2.3,4.7,49.6,0,0,0,1,1.3,80,0.7,0.9,1.6,0.4,0.5,0.1,1.2,4.4
Vern Fleming,,1984,80,31.1,14.1,5.4,11.5,47,0,0.1,0,3.3,4.2,76.7,1.9,2.2,4,3.1,1.2,0.1,2.5,13
Willie White,,1984,39,6,3.3,1.3,3.2,41.9,0.1,0.3,36.4,0.5,0.8,67.7,0.4,0.5,0.9,0.7,0.1,0.1,0.8,2.3
A.C. Green,,1985,82,18.8,6.4,2.5,4.7,53.9,0,0.1,16.7,1.2,2,61.1,2,2.7,4.6,0.7,0.6,0.6,1.2,8.7
Alfredrick Hughes,,1985,68,12.7,5.2,2.2,5.5,40.9,0,0.3,17.6,0.7,1.2,58.3,0.7,0.9,1.7,0.9,0.4,0.1,0.9,3.6
Benoit Benjamin,,1985,79,26.4,11.1,4.1,8.4,49,0,0,33.3,2.9,3.9,74.6,2,5.6,7.6,1,0.8,2.6,1.8,16
Bill Martin,,1985,66,10.5,5,2.2,4.5,48,0,0.1,0,0.7,0.8,85.2,0.6,0.9,1.5,0.8,0.3,0.1,0.9,4.4
Bill Wennington,,1985,56,10,3.4,1.3,2.7,47.1,0,0.1,0,0.8,1.1,72.6,0.6,1.8,2.4,0.4,0.2,0.4,0.4,4.6
Blair Rasmussen,,1985,48,6.9,3.2,1.3,3.1,40.7,0,0,0,0.6,0.8,79.5,0.8,1.3,2,0.3,0.1,0.2,0.8,3
Bob Thornton,,1985,71,18.6,4.7,1.8,3.9,45.6,0,0,0,1.2,2.3,53.1,1.6,2.5,4.1,0.6,0.4,0.1,1.2,5.6
Carey Scurry,,1985,78,15,4.7,1.8,3.9,47.2,0,0.1,9.1,1,1.6,61.9,1.2,1.9,3.1,1.1,1,0.8,1.2,6.8
Charles Oakley,,1985,77,23,9.6,3.6,7,51.9,0,0,0,2.3,3.5,66.2,3.3,5.3,8.6,1.7,0.9,0.4,2.3,14.4
Chris Mullin,2011,1985,55,25.3,14,5.2,11.3,46.3,0.1,0.5,18.5,3.4,3.8,89.6,0.8,1.3,2.1,1.9,1.3,0.4,1.4,11.8
Detlef Schrempf,,1985,64,15.1,6.2,2.2,4.9,45.1,0,0.1,42.9,1.7,2.4,72.4,1.1,2,3.1,1.4,0.4,0.2,1.3,6.5
Dirk Minniefield,,1985,76,14.9,5.5,2.2,4.6,48.1,0.1,0.5,27,1,1.2,78.5,0.6,1.2,1.7,3.5,0.9,0,1.4,7.6
Dwayne McClain,,1985,45,10.2,3.5,1.5,4,38.3,0,0.2,11.1,0.4,0.8,51.4,0.3,0.4,0.7,1.5,0.8,0.1,0.9,2.8
Ed Pinckney,,1985,80,20,8.5,3.2,5.7,55.8,0,0,0,2.1,3.2,67.3,1.2,2.7,3.9,1.1,0.9,0.5,1.9,9.4
Fred Cofield,,1985,45,10.4,3.7,1.7,4.1,40.8,0.1,0.3,20,0.3,0.4,60,0.1,0.9,1,1.8,0.4,0.1,1.1,3.3
Georgi Glouchkov,,1985,49,15.8,4.9,1.7,4.3,40.2,0,0,100,1.4,2.5,57.4,0.6,2.7,3.3,0.7,0.5,0.5,1.6,4.7
Gerald Wilkins,,1985,81,25,12.5,5.4,11.5,46.8,0.1,0.3,28,1.6,2.9,55.7,1.1,1.4,2.6,2,0.8,0.1,1.9,8.6
Jerry Reynolds,,1985,55,9.2,3.7,1.3,2.9,44.4,0,0,50,1.1,1.9,55.8,0.7,0.8,1.5,1.6,0.8,0.3,0.9,4.4
Joe Dumars,2006,1985,82,23.9,9.4,3.5,7.3,48.1,0.1,0.2,31.3,2.3,2.9,79.8,0.7,0.7,1.5,4.8,0.8,0.1,1.9,10.2
Joe Kleine,,1985,80,14.8,5.2,2,4.3,46.5,0,0,0,1.2,1.6,72.3,1.4,3.3,4.7,0.6,0.3,0.4,1.3,7.1
John Battle,,1985,64,10,4.3,1.6,3.5,45.5,0,0.1,0,1.2,1.6,72.8,0.2,0.8,1,1.2,0.4,0.1,0.7,3.8
Jon Koncak,,1985,82,20.7,8.3,3.2,6.3,50.7,0,0,0,1.9,3.1,60.7,2.1,3.6,5.7,0.7,0.5,0.8,1.4,10.3
Karl Malone,2010,1985,81,30.6,14.9,6.2,12.5,49.6,0,0,0,2.4,5,48.1,2.1,6.7,8.9,2.9,1.3,0.5,3.4,16.1
Keith Lee,,1985,58,20.6,7.4,3.1,6.6,46.6,0,0.2,22.2,1.3,1.7,78.1,2,4.1,6.1,1.2,0.5,0.6,1.3,10.6
Ken Johnson,,1985,64,12.7,4.1,1.8,3.3,52.8,0,0,-,0.6,1.3,43.5,1.4,2.4,3.8,0.3,0.2,0.3,0.9,5.5
Lorenzo Charles,,1985,36,7.6,3.4,1.4,2.4,55.7,0,0,0,0.7,1,66.7,0.4,0.7,1.1,0.2,0.1,0.2,0.5,3
Manute Bol,,1985,80,26.1,3.7,1.6,3.5,46,0,0,0,0.5,1.1,48.8,1.5,4.4,6,0.3,0.3,5,0.8,12.1
Mike Phelps,,1985,70,12.6,4,1.7,4.1,40.9,0,0.2,8.3,0.6,1.1,59.5,0.4,0.9,1.3,1,0.6,0,0.9,3.2
Mike Smrek,,1985,38,10.7,2.8,1.2,3.2,37.7,0,0.1,0,0.4,0.8,55.2,1.2,1.7,2.9,0.5,0.2,0.6,0.8,3.9
Patrick Ewing,2008,1985,50,35.4,20,7.7,16.3,47.4,0,0.1,0,4.5,6.1,73.9,2.5,6.5,9,2,1.1,2.1,3.4,20.6
Pete Williams,,1985,53,10.8,2.8,1.3,2.1,60.4,0,0,-,0.3,0.8,42.5,0.9,1.9,2.8,0.3,0.4,0.4,0.4,5
Sam Vincent,,1985,57,7.6,3.2,1,2.8,36.4,0,0.1,25,1.1,1.2,92.9,0.2,0.6,0.8,1.2,0.3,0.1,0.9,2.9
Spud Webb,,1985,79,15.6,7.8,2.5,5.2,48.3,0,0.1,18.2,2.7,3.5,78.5,0.3,1.2,1.6,4.3,1,0.1,2,9.3
Steve Harris,,1985,57,8.5,4.5,1.8,4.1,44.2,0,0.1,20,0.9,0.9,92.6,0.4,0.6,1,0.9,0.4,0.1,0.6,3.9
Terry Catledge,,1985,64,17.1,7.7,3.2,6.7,46.9,0,0.1,0,1.4,2.2,64.7,1.7,2.6,4.3,0.3,0.5,0.1,1.1,7.5
Terry Porter,,1985,79,15.4,7.1,2.7,5.7,47.4,0.2,0.5,31,1.6,2,80.6,0.4,1,1.5,2.5,1,0,1.3,7.4
Uwe Blab,,1985,48,8.5,2.6,0.9,2,46.8,0,0,0,0.8,1.4,53.7,0.5,1.4,1.9,0.4,0.1,0.3,0.6,2.9
Wayman Tisdale,,1985,81,28.1,14.7,6.4,12.4,51.5,0,0,0,2,2.9,68.4,2.4,4.9,7.2,1,0.4,0.5,2.3,14.6
Xavier McDaniel,,1985,82,33,17.1,7,14.3,49,0,0.1,20,3,4.4,68.7,3.7,4.2,8,2.4,1.2,0.5,3,17.4
Anthony Jones,,1986,65,13.2,5,2,5,41.3,0.1,0.3,35,0.8,1,76.9,0.6,1,1.6,1.1,0.7,0.3,0.8,4.7
Ben Coleman,,1986,68,15.1,6.6,2.7,4.6,58.1,0,0,0,1.3,1.8,72.7,1.5,2.8,4.2,0.5,0.5,0.5,1.4,8.6
Billy Thompson,,1986,59,12.9,5.6,2.4,4.4,54.4,0,0,0,0.8,1.3,64.9,1.2,1.7,2.9,1,0.3,0.5,1,6.8
Brad Daugherty,,1986,80,33.7,15.7,6.1,11.3,53.8,0,0,0,3.5,5,69.6,1.9,6.2,8.1,3.8,0.6,0.8,3.1,19.1
Brad Sellers,,1986,80,21.9,8.5,3.5,7.6,45.5,0,0.1,20,1.6,2.2,72.8,1.9,2.7,4.7,1.3,0.6,0.8,1.1,10.1
Buck Johnson,,1986,60,8.7,3.8,1.6,3.4,46.8,0,0,0,0.7,1,69,0.6,0.8,1.5,0.7,0.3,0.3,0.6,3.8
Chris Washburn,,1986,35,11,3.8,1.6,4.1,39.3,0,0,0,0.5,1.5,35.3,1,1.9,2.9,0.5,0.2,0.2,1.1,2.9
Chuck Person,,1986,82,36,18.8,7.7,16.6,46.8,0.6,1.7,35.5,2.7,3.6,74.7,2,6.2,8.3,3.6,1.1,0.2,2.6,19.6
Clinton Smith,,1986,41,8.3,3.1,1.2,2.9,42.7,0,0,0,0.7,0.9,75,0.6,0.7,1.4,1.1,0.3,0,0.6,3.4
Conner Henry,,1986,54,6,2.3,0.9,2.5,33.8,0.2,0.8,31,0.3,0.5,63,0.1,0.5,0.6,0.6,0.2,0,0.5,1.4
Dave Feitl,,1986,62,8,3.7,1.4,3.3,43.6,0,0,0,0.9,1.1,74.6,0.6,1.3,1.9,0.4,0.1,0.1,0.6,3.4
David Wingate,,1986,77,20.9,8.8,3.4,7.8,43,0.2,0.7,25,1.9,2.6,74.1,0.9,1.1,2,2,1.2,0.3,1.7,7.5
Dell Curry,,1986,67,9.5,4.9,2.1,4.9,42.6,0.3,0.9,28.3,0.4,0.6,78.9,0.4,0.7,1.2,0.9,0.4,0.1,0.7,3.8
Dennis Rodman,2011,1986,77,15,6.5,2.8,5.1,54.5,0,0,0,1,1.6,58.7,2.1,2.2,4.3,0.7,0.5,0.6,1.2,8.5
Dwayne Washington,,1986,72,22.2,8.6,3.6,7.5,47.8,0.1,0.3,16.7,1.4,1.7,78.4,0.5,1.3,1.8,4.2,1.3,0.1,2.4,9.2
Grant Gondrezick,,1986,64,13.1,5.5,2.1,4.7,45,0.1,0.3,23.5,1.2,1.7,70.1,0.7,1,1.7,1.3,0.4,0.1,0.9,4.9
Harold Pressley,,1986,67,13.6,4.6,2,4.7,42.3,0.1,0.4,25,0.5,0.7,72.9,1,1.6,2.6,1.8,0.6,0.3,0.9,6.1
Hot Rod Williams,,1986,80,33.9,14.6,5.4,11.2,48.5,0,0,0,3.7,5,74.5,2.8,5.1,7.9,1.9,0.7,2.1,1.7,18.4
Jeff Hornacek,,1986,80,19.5,5.3,2,4.4,45.4,0.2,0.5,27.9,1.2,1.5,77.7,0.5,1.8,2.3,4.5,0.9,0.1,1.9,8.4
John Salley,,1986,82,17.8,5.3,2,3.5,56.2,0,0,0,1.3,2.1,61.4,1.3,2.3,3.6,0.7,0.5,1.5,0.9,8.3
John Williams,,1986,78,22.7,9.2,3.6,8,45.4,0.1,0.5,22.2,1.8,2.9,64.6,1.7,3,4.7,2.4,1.6,0.4,1.6,11.4
Johnny Dawkins,,1986,81,20.8,10.3,4.1,9.4,43.7,0.2,0.6,29.8,1.9,2.4,80.1,0.7,1.4,2.1,3.6,0.8,0,1.5,9.6
Johnny Newman,,1986,59,10.7,5,1.9,4.7,41.1,0,0.4,4.5,1.1,1.3,86.8,0.6,0.6,1.2,0.5,0.3,0.1,0.8,3.4
Johnny Rogers,,1986,45,10.4,4.2,2,4.1,48.6,0,0.1,0,0.2,0.3,60,0.7,1,1.7,0.6,0.2,0.2,0.4,4.2
Keith Smith,,1986,42,11,3.3,1.4,3.6,38,0.1,0.2,33.3,0.5,0.7,75,0.3,0.5,0.8,1,0.6,0.1,0.7,2.6
Kenny Gattison,,1986,77,14.3,5.2,1.9,4,47.6,0,0,0,1.4,2.2,63.2,1.1,2.4,3.5,0.5,0.3,0.4,1.1,5.9
Kenny Walker,,1986,68,25.3,10.4,4.2,8.5,49.1,0,0.1,0,2.1,2.7,75.7,1.7,3.2,5,1.1,0.7,0.7,1.1,11.8
Kevin Duckworth,,1986,65,13.5,5.4,2,4.2,47.6,0,0,0,1.4,2.1,68.7,1.2,2.3,3.4,0.4,0.3,0.3,1.2,5.9
Larry Krystkowiak,,1986,68,14.8,6.6,2.5,5.5,45.6,0,0.2,8.3,1.6,2.2,74.3,1.1,2.4,3.5,1.3,0.3,0.2,1,7.4
Mark Alarie,,1986,64,17.3,7.9,3.4,6.9,49,0,0.1,22.2,1,1.6,66.3,1.1,2.2,3.3,1.2,0.3,0.4,0.9,8.2
Mark Price,,1986,67,18.2,6.9,2.6,6.3,40.8,0.3,1,32.9,1.4,1.7,83.3,0.5,1.3,1.7,3,0.6,0.1,1.6,6.8
Mike Brown,,1986,62,13.2,4.2,1.7,3.2,52.7,0,0,0,0.7,1.2,63.9,1.1,2.3,3.5,0.4,0.3,0.1,0.9,5.5
Mo Martin,,1986,43,6.7,3.4,1.2,3.1,37.8,0.1,0.3,20,1,1.5,63.6,0.3,0.7,1,0.8,0.3,0.1,0.8,2.3
Nate McMillan,,1986,71,27.8,5.3,2,4.2,47.5,0,0.1,0,1.2,2,61.7,1.4,3.2,4.7,8.2,1.8,0.6,2.2,15.4
Rafael Addison,,1986,62,11.5,5.8,2.4,5.3,44.1,0.3,0.8,32,0.8,1,79.7,0.7,1,1.7,0.7,0.4,0.1,0.9,4.7
Ron Harper,,1986,82,37.4,22.9,9,19.7,45.5,0.2,1.1,21.3,4.7,6.9,68.4,2.1,2.7,4.8,4.8,2.5,1,4.2,18.9
Roy Tarpley,,1986,75,18.7,7.5,3.1,6.7,46.7,0,0,33.3,1.3,1.9,67.6,2.4,4.7,7.1,0.7,0.8,1.1,1.4,11.6
Tim Kempton,,1986,66,14.2,4.4,1.5,3.1,47.1,0,0,0,1.4,2.1,69.3,1.1,1.9,2.9,0.8,0.6,0.2,0.7,5.8
Walter Berry,,1986,63,25.2,15.9,6.5,12.2,53.1,0,0,0,3,4.6,64.9,2.2,2.7,4.9,1.7,0.6,0.6,2.4,14
William Bedford,,1986,50,19.6,6.7,2.8,7.2,39.7,0,0,0,1,1.7,58.1,1.6,3.3,4.9,1.1,0.4,0.7,1.7,7.1
Armen Gilliam,,1987,55,32.9,14.8,6.2,13.1,47.5,0,0,0,2.4,3.5,67.9,2.4,5.5,7.9,1.3,1.1,0.5,2.2,15.4
Bart Kofoed,,1987,36,6.3,1.3,0.5,1.3,37.5,0.1,0.2,28.6,0.2,0.4,61.5,0.1,0.3,0.4,0.6,0.2,0,0.5,1.1
Billy Donovan,,1987,44,8.3,2.4,1,2.5,40.4,0,0.2,0,0.4,0.5,81,0.1,0.5,0.6,2,0.4,0,0.9,2.8
Brad Lohaus,,1987,70,10.3,4.2,1.7,3.5,49.6,0,0.2,23.1,0.7,0.9,80.6,0.7,1.3,2,0.7,0.3,0.6,0.8,5
Chris Dudley,,1987,55,9.3,3.1,1.2,2.5,47.4,0,0,0,0.7,1.3,56.3,1.3,1.3,2.6,0.4,0.2,0.3,0.6,4.3
Clinton Wheeler,,1987,59,8.7,2.5,1.1,2.2,47,0,0,0,0.4,0.6,73.5,0.3,0.4,0.7,1.7,0.6,0,0.9,3.4
Dallas Comegys,,1987,75,15,5.6,2.1,4.8,43,0,0,0,1.4,2,70.7,0.7,2.2,2.9,0.9,0.5,0.9,1.6,5.9
Dave Hoppen,,1987,39,16.5,5.7,2.2,4.7,45.9,0,0,0,1.4,1.6,87.1,1.5,3,4.5,0.8,0.3,0.1,0.9,7.8
Dennis Hopson,,1987,61,22.4,9.6,3.6,9,40.4,0.2,0.7,26.7,2.1,2.9,74,1,1.3,2.3,1.9,0.9,0.4,1.9,7.2
Derrick McKey,,1987,82,20.8,8.5,3.1,6.3,49.1,0.1,0.4,36.7,2.1,2.7,77.2,1.4,2.6,4,1.3,0.8,0.8,1.3,10.2
Greg Anderson,,1987,82,24.2,11.7,4.6,9.2,50.1,0,0.1,20,2.4,4,60.4,2,4.3,6.3,1,0.7,1.5,1.7,13.1
Horace Grant,,1987,81,22.6,7.7,3.1,6.3,50.1,0,0,0,1.4,2.2,62.6,1.9,3.6,5.5,1.1,0.6,0.7,1.1,10.6
Joe Wolf,,1987,42,27.1,7.6,3.2,8,40.7,0.1,0.4,20,1.1,1.3,83.3,1.2,3.2,4.5,2.3,0.9,0.4,1.8,9
John Stroeder,,1987,41,6.6,1.9,0.7,1.9,36.7,0,0,0,0.5,0.7,66.7,0.6,1.1,1.7,0.5,0.1,0.3,0.6,2.4
Ken Norman,,1987,66,21.7,8.6,3.7,7.6,48.2,0,0.2,0,1.3,2.6,51.2,1.5,2.5,4,1.2,0.7,0.5,1.6,8.2
Kenny Smith,,1987,61,35.6,13.8,5.4,11.4,47.7,0.2,0.6,30.8,2.7,3.3,81.9,0.7,1.6,2.3,7.1,1.5,0.1,3,15.2
Kevin Johnson,,1987,80,24,9.2,3.4,7.5,46.1,0.1,0.3,20.8,2.2,2.6,83.9,0.5,1.9,2.4,5.5,1.3,0.3,1.8,12.3
Mark Acres,,1987,79,14.6,3.6,1.4,2.6,53.2,0,0,0,0.9,1.4,64,1.3,2.1,3.4,0.5,0.4,0.3,0.7,5.9
Mark Jackson,,1987,82,39.6,13.6,5.3,12.4,43.2,0.4,1.5,25.4,2.5,3.2,77.4,1.5,3.4,4.8,10.6,2.5,0.1,3.1,20.7
Martin Nessley,,1987,44,7.6,1.1,0.5,1.2,38.5,0,0,0,0.2,0.4,44.4,0.5,1.3,1.9,0.4,0.2,0.3,0.5,2.3
