playerID,year,stint,tmID,lgID,GP,GS,minutes,points,oRebounds,dRebounds,rebounds,assists,steals,blocks,turnovers,PF,fgAttempted,fgMade,ftAttempted,ftMade,threeAttempted,threeMade,PostGP,PostGS,PostMinutes,PostPoints,PostoRebounds,PostdRebounds,PostRebounds,PostAssists,PostSteals,PostBlocks,PostTurnovers,PostPF,PostfgAttempted,PostfgMade,PostftAttempted,PostftMade,PostthreeAttempted,PostthreeMade,note,useFirst,firstName,middleName,lastName,nameGiven,fullGivenName,nameSuffix,nameNick,pos,firstseason,lastseason,height_x,weight_x,college,collegeOther,birthDate,birthCity,birthState,birthCountry,highSchool,hsCity,hsState,hsCountry,deathDate,race,tm,player,age,g,mp,per,ts,3par,ftr,orb,drb,trb,ast,stl,blk,tov,usg,column_s,ows,dws,ws,ws_48,column_x,obpm,dbpm,bpm,vorp,ows_48,dws_48,shot,team_mar,team_mp,team_gm,year_3par,team_ts,tm_usg,tm_ts_w_o_plyr,reb_vers,defense,val_shot,offense,mpg_int,raw_spm,min,raw_contrib,tm_sum,tm_adj,bpm_2,stderr,contrib,vorp_2,reb_vers_2,val_shot_2,offense_2,defense_2,mpg,raw_obpm,contrib_2,tm_ortg,tm_sum_2,tm_adj_2,tm_drtg,obpm_2,ostderr,ocontrib,ovorp,dbpm_2,dstderr,dcontrib,dvorp,sum_spm,min_2,mpg_2,rempg,bpm_3,contrib_3,vorp_3,vorp_gm,o_bpm,ocontrib_2,ovorp_2,ovorp_gm,d_bpm,dcontrib_2,dvorp_2,dvorp_gm,production,prod_gm,exp_bpm,truetalentbpm,exp_min,truetalentvorp,truesalary,truetimevorp,adjusted_production,worp,o_worp,d_worp,adjusted_worp,estimated_position,bbref_pos,age_on_feb_1,yrs_experience,height_y,weight_y,rounded_position,rounded_age
abdulta01,2000,1,DEN,NBA,29,0,420,111,14,45,59,22,14,13,34,54,111,43,36,21,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Tariq,Tariq,,Abdul-Wahad,,Olivier Michael Saint-Jean,,,G-F,0.0,0.0,78.0,223.0,San Jose State,Michigan,1974-11-03,Maisons Alfort,,FRA,Lycee Aristide Briand,Evreux,,FRA,0000-00-00,B,ORL,Tariq Abdul-Wahad,25,46,1205,14.4,0.484,0.040999999999999995,0.293,7.0,14.6,10.8,9.7,2.2,0.9,13.0,23.3,,0.4,1.6,2.0,0.08199999999999999,,-1.3,0.5,-0.7,0.4,0.017,0.065,20.3,0.69,19755,82,0.16699999999999998,0.516,334059,0.518,-0.49,0.31,-0.15,-1.52,-0.23,-1.94,0.305,-0.59,-4.61,1.09,-0.8,2.3,-0.3,0.4,0.0,0.1,-1.7,0.2,-0.1,-1.5,-0.4,-1.7,-2.9,0.2,2.4,-1.3,1.5,-0.4,0.1,0.4,1.7,0.1,0.2,-1.7,0.3,26.2,24.1,-0.8,-0.3,0.4,0.6,-1.3,-0.4,0.1,0.2,0.4,0.1,0.2,0.4,"$2,600,000 ","$3,900,000 ",-0.4,-0.6,0.42,0.6,"$3,700,000 ",0.5,"$3,200,000 ",0.9,0.3,0.6,1.3,2.8,2.0,25.25,2.0,78.0,223.0,3.0,25.0
abdulta01,2000,1,DEN,NBA,29,0,420,111,14,45,59,22,14,13,34,54,111,43,36,21,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Tariq,Tariq,,Abdul-Wahad,,Olivier Michael Saint-Jean,,,G-F,0.0,0.0,78.0,223.0,San Jose State,Michigan,1974-11-03,Maisons Alfort,,FRA,Lycee Aristide Briand,Evreux,,FRA,0000-00-00,B,DEN,Tariq Abdul-Wahad,25,15,373,10.8,0.44799999999999995,0.015,0.321,6.9,8.2,7.6,11.0,0.8,2.2,11.3,19.7,,0.0,0.2,0.2,0.023,,-2.7,-0.9,-3.6,-0.1,-0.001,0.024,17.5,-1.86,19855,82,0.16699999999999998,0.517,341357,0.519,-0.33,-0.76,-0.21,-1.59,-0.78,-3.47,0.094,-0.33,-0.41,-0.36,-3.8,2.9,-0.4,-0.2,0.4,0.1,-2.2,-0.3,-0.4,-2.4,-0.2,-0.4,1.5,-0.4,-1.4,-2.8,1.9,-0.3,-0.1,-1.0,2.1,-0.1,-0.1,-1.8,0.1,24.9,19.6,-3.8,-0.4,-0.2,-0.9,-2.8,-0.3,-0.1,-0.6,-1.0,-0.1,-0.1,-0.4,"$200,000 ","($3,300,000)",-1.7,-2.5,0.15,-0.1,"$700,000 ",-0.3,"($200,000)",-0.5,-0.3,-0.2,-0.7,2.6,2.0,25.25,2.0,78.0,223.0,3.0,25.0
abdulta01,2001,1,DEN,NBA,20,0,417,135,39,39,78,22,18,9,24,51,145,55,32,24,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Tariq,Tariq,,Abdul-Wahad,,Olivier Michael Saint-Jean,,,G-F,0.0,0.0,78.0,223.0,San Jose State,Michigan,1974-11-03,Maisons Alfort,,FRA,Lycee Aristide Briand,Evreux,,FRA,0000-00-00,B,DEN,Tariq Abdul-Wahad,26,29,420,5.8,0.43799999999999994,0.09,0.324,3.6,11.8,7.6,8.1,1.7,2.1,21.1,17.1,,-0.7,0.3,-0.4,-0.049,,-5.4,0.0,-5.4,-0.4,-0.08199999999999999,0.033,13.5,-2.07,19780,82,0.17,0.512,345064,0.513,-2.16,0.28,-0.25,-1.8,-1.7,-5.38,0.106,-0.57,0.26,-0.55,-5.9,2.8,-0.6,-0.4,-0.9,0.1,-3.6,0.0,-0.9,-5.4,-0.6,0.7,3.5,-0.5,-2.8,-5.9,1.9,-0.6,-0.5,0.0,2.1,0.0,0.0,-6.0,0.1,14.5,12.7,-5.9,-0.6,-0.4,-1.2,-5.9,-0.6,-0.5,-1.3,0.0,0.0,0.0,0.1,"($800,000)","($4,200,000)",-3.2,-4.2,0.0,0.0,,0.0,,-1.1,-1.2,0.1,0.0,2.7,2.0,26.25,3.0,78.0,223.0,3.0,26.0
abdulta01,2001,2,DAL,NBA,4,0,24,0,2,4,6,2,2,1,3,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Tariq,Tariq,,Abdul-Wahad,,Olivier Michael Saint-Jean,,,G-F,0.0,0.0,78.0,223.0,San Jose State,Michigan,1974-11-03,Maisons Alfort,,FRA,Lycee Aristide Briand,Evreux,,FRA,0000-00-00,B,DEN,Tariq Abdul-Wahad,26,29,420,5.8,0.43799999999999994,0.09,0.324,3.6,11.8,7.6,8.1,1.7,2.1,21.1,17.1,,-0.7,0.3,-0.4,-0.049,,-5.4,0.0,-5.4,-0.4,-0.08199999999999999,0.033,13.5,-2.07,19780,82,0.17,0.512,345064,0.513,-2.16,0.28,-0.25,-1.8,-1.7,-5.38,0.106,-0.57,0.26,-0.55,-5.9,2.8,-0.6,-0.4,-0.9,0.1,-3.6,0.0,-0.9,-5.4,-0.6,0.7,3.5,-0.5,-2.8,-5.9,1.9,-0.6,-0.5,0.0,2.1,0.0,0.0,-6.0,0.1,14.5,12.7,-5.9,-0.6,-0.4,-1.2,-5.9,-0.6,-0.5,-1.3,0.0,0.0,0.0,0.1,"($800,000)","($4,200,000)",-3.2,-4.2,0.0,0.0,,0.0,,-1.1,-1.2,0.1,0.0,2.7,2.0,26.25,3.0,78.0,223.0,3.0,26.0
abdulta01,2002,1,DAL,NBA,14,0,204,57,14,26,40,21,6,3,7,26,58,27,6,3,1,0,8,0,79,25,11,11,22,7,0,0,1,6,30,9,8,7,2,0,,Tariq,Tariq,,Abdul-Wahad,,Olivier Michael Saint-Jean,,,G-F,0.0,0.0,78.0,223.0,San Jose State,Michigan,1974-11-03,Maisons Alfort,,FRA,Lycee Aristide Briand,Evreux,,FRA,0000-00-00,B,DEN,Tariq Abdul-Wahad,27,20,417,10.3,0.424,0.013999999999999999,0.221,10.2,11.2,10.7,8.7,2.3,1.6,13.1,19.7,,-0.2,0.3,0.0,0.005,,-3.1,0.1,-2.9,-0.1,-0.026000000000000002,0.031,17.1,-5.64,19805,82,0.18100000000000002,0.495,342074,0.496,0.01,0.76,-0.26,-1.91,-1.13,-2.29,0.105,-0.24,-2.12,-0.93,-3.2,2.8,-0.3,-0.1,0.9,0.0,-2.9,0.2,-0.6,-2.3,-0.2,-2.9,1.1,-0.9,-2.7,-3.2,1.9,-0.3,-0.2,0.0,2.1,0.0,0.0,-3.3,0.1,20.9,17.4,-3.2,-0.3,-0.1,-0.5,-3.2,-0.3,-0.2,-0.7,0.0,0.0,0.0,0.1,"$400,000 ","($1,400,000)",-2.7,-2.9,0.09,-0.1,"$600,000 ",-0.1,"$500,000 ",-0.3,-0.4,0.1,-0.3,2.9,2.0,27.25,4.0,78.0,223.0,3.0,27.0
abdulta01,2002,1,DAL,NBA,14,0,204,57,14,26,40,21,6,3,7,26,58,27,6,3,1,0,8,0,79,25,11,11,22,7,0,0,1,6,30,9,8,7,2,0,,Tariq,Tariq,,Abdul-Wahad,,Olivier Michael Saint-Jean,,,G-F,0.0,0.0,78.0,223.0,San Jose State,Michigan,1974-11-03,Maisons Alfort,,FRA,Lycee Aristide Briand,Evreux,,FRA,0000-00-00,B,DAL,Tariq Abdul-Wahad,27,4,24,0.3,0.0,0.0,0.5,9.4,18.2,13.9,10.4,4.3,3.0,55.1,10.2,,-0.1,0.0,-0.1,-0.128,,-7.8,5.8,-2.0,0.0,-0.16399999999999998,0.036000000000000004,4.6,4.78,19880,82,0.18100000000000002,0.5529999999999999,352811,0.5529999999999999,0.58,4.01,-1.2,-5.97,-2.91,-4.29,0.006,-0.03,-0.81,1.31,-3.0,6.7,0.0,0.0,0.6,-0.9,-9.2,0.8,-1.5,-10.2,-0.1,7.6,3.5,1.1,-2.8,-9.1,4.5,-0.1,0.0,6.1,4.9,0.0,0.0,-15.2,0.0,6.0,3.0,-3.0,0.0,0.0,-0.1,-9.1,-0.1,0.0,-0.9,6.1,0.0,0.0,0.8,"$1,000,000 ","$400,000 ",-4.2,-4.1,0.0,0.0,,0.0,,0.0,-0.1,0.1,0.0,3.1,2.0,27.25,4.0,78.0,223.0,3.0,27.0
abdursh01,2000,1,VAN,NBA,81,0,3241,1663,175,560,735,250,90,77,231,238,1280,604,531,443,64,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Shareef,Julius,Shareef,Abdur-Rahim,,,,"Shareef, Reef",F,0.0,0.0,81.0,225.0,California,,1976-12-11,Marietta,GA,USA,Wheeler,Marietta,GA,USA,0000-00-00,B,VAN,Shareef Abdur-Rahim,23,82,3223,20.2,0.547,0.075,0.431,8.0,22.7,15.3,15.5,1.5,1.9,14.1,25.0,,6.2,2.6,8.8,0.132,,1.7,0.3,2.0,3.2,0.09300000000000001,0.039,21.5,-5.6,19855,82,0.16699999999999998,0.524,334167,0.518,2.15,-0.04,0.08,-0.29,1.42,3.24,0.812,2.63,-1.87,-0.97,2.3,2.0,1.8,3.5,0.6,0.3,0.4,-0.1,0.7,2.0,1.6,-1.1,-0.3,-0.2,-4.5,1.8,1.3,1.5,2.8,0.5,1.5,0.4,0.6,1.3,0.8,39.3,37.5,2.3,1.8,3.5,3.5,1.8,1.5,2.8,2.8,0.5,0.4,0.6,0.6,"$16,800,000 ","$16,800,000 ",1.6,2.0,0.73,2.9,"$14,100,000 ",3.1,"$15,100,000 ",9.4,7.7,1.7,8.4,3.7,3.0,23.14,3.0,81.0,225.0,4.0,23.0
abdursh01,2001,1,ATL,NBA,77,0,2980,1636,198,498,696,239,98,81,250,214,1297,598,523,419,70,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Shareef,Julius,Shareef,Abdur-Rahim,,,,"Shareef, Reef",F,0.0,0.0,81.0,225.0,California,,1976-12-11,Marietta,GA,USA,Wheeler,Marietta,GA,USA,0000-00-00,B,VAN,Shareef Abdur-Rahim,24,81,3241,19.1,0.5489999999999999,0.05,0.415,6.2,19.6,13.0,14.3,1.5,1.6,13.2,24.6,,5.6,2.9,8.5,0.126,,1.1,0.8,1.9,3.2,0.083,0.043,21.4,-5.47,19780,82,0.17,0.51,336707,0.5,1.17,-0.23,0.09,0.43,1.43,2.8,0.8190000000000001,2.29,-3.66,-0.58,2.2,2.0,1.8,3.5,0.2,0.3,0.9,-0.1,0.7,2.1,1.8,-3.6,0.0,-0.9,-1.9,1.3,1.3,1.1,2.4,0.9,1.5,0.8,1.0,0.4,0.8,40.0,38.1,2.2,1.8,3.5,3.5,1.3,1.1,2.4,2.5,0.9,0.8,1.0,1.0,"$16,300,000 ","$16,500,000 ",1.7,2.0,0.73,2.9,"$13,800,000 ",3.1,"$14,600,000 ",9.3,6.6,2.7,8.3,3.6,3.0,24.14,4.0,81.0,225.0,4.0,24.0
abdursh01,2002,1,ATL,NBA,81,0,3083,1608,175,502,677,242,87,38,210,240,1183,566,541,455,60,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Shareef,Julius,Shareef,Abdur-Rahim,,,,"Shareef, Reef",F,0.0,0.0,81.0,225.0,California,,1976-12-11,Marietta,GA,USA,Wheeler,Marietta,GA,USA,0000-00-00,B,ATL,Shareef Abdur-Rahim,25,77,2980,19.8,0.536,0.054000000000000006,0.40299999999999997,7.6,19.2,13.3,15.1,1.7,2.0,14.1,27.0,,4.1,3.1,7.2,0.11599999999999999,,1.1,0.7,1.8,2.8,0.066,0.05,23.2,-4.9,19780,82,0.18100000000000002,0.516,337749,0.511,1.77,0.21,0.05,-0.94,1.26,2.31,0.753,1.74,-4.4,-0.3,2.0,2.1,1.5,3.0,0.6,0.3,0.0,0.0,0.7,1.6,1.2,-2.5,-1.2,-0.4,-2.4,1.2,1.4,0.9,2.2,0.8,1.5,0.6,0.9,0.4,0.8,38.7,36.8,2.0,1.5,3.0,3.2,1.2,0.9,2.2,2.3,0.8,0.6,0.9,0.9,"$14,800,000 ","$15,700,000 ",1.5,1.8,0.73,2.7,"$13,500,000 ",2.9,"$14,200,000 ",8.2,5.9,2.3,7.9,3.6,4.0,25.14,5.0,81.0,225.0,4.0,25.0
abdursh01,2003,1,ATL,NBA,53,0,1956,1065,141,354,495,127,44,19,131,147,790,383,334,294,23,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Shareef,Julius,Shareef,Abdur-Rahim,,,,"Shareef, Reef",F,0.0,0.0,81.0,225.0,California,,1976-12-11,Marietta,GA,USA,Wheeler,Marietta,GA,USA,0000-00-00,B,ATL,Shareef Abdur-Rahim,26,81,3087,19.9,0.5660000000000001,0.051,0.457,6.7,17.8,12.5,14.7,1.5,0.9,13.0,24.2,,7.4,2.3,9.7,0.151,,1.8,-0.5,1.4,2.6,0.115,0.036000000000000004,21.1,-4.19,19905,82,0.182,0.527,335285,0.517,1.38,-0.61,0.09,0.33,1.21,2.31,0.775,1.79,-1.82,-0.64,1.7,2.0,1.3,2.8,0.4,0.3,0.9,0.0,0.6,2.2,1.7,-1.3,-1.0,-0.1,-2.9,2.1,1.4,1.6,2.9,-0.4,1.5,-0.3,-0.1,2.5,0.8,38.1,36.3,1.7,1.3,2.8,2.9,2.1,1.6,2.9,3.0,-0.4,-0.3,-0.1,-0.1,"$13,700,000 ","$13,900,000 ",1.5,1.6,0.73,2.6,"$12,700,000 ",2.7,"$12,900,000 ",7.7,7.9,-0.3,7.2,3.5,4.0,26.14,6.0,81.0,225.0,3.0,26.0
