draft_year,round,pick,team,player,college,yrs,g,mp,pts,trb,ast,fg,3p,ft,minuts_played,points,total_rebounds,assists,win_share,win_sharess_48,box_plus_minus,value_over_replacement
2016,1,1,PHI,Ben Simmons,Louisiana State University,,,,,,,,,,,,,,,,,
2016,1,2,LAL,Brandon Ingram,Duke University,1,42,1157,335,172,83,0.371,0.278,0.691,27.5,8,4.1,2,-0.2,-0.006,-4.3,-0.7
2016,1,3,BOS,Jaylen Brown,University of California,1,38,497,180,71,23,0.441,0.325,0.641,13.1,4.7,1.9,0.6,0.3,0.029,-4.8,-0.3
2016,1,4,PHO,Dragan Bender,,1,31,382,97,63,12,0.388,0.317,0.167,12.3,3.1,2,0.4,-0.1,-0.008,-3.8,-0.2
2016,1,5,MIN,Kris Dunn,Providence College,1,38,643,150,82,94,0.38,0.294,0.619,16.9,3.9,2.2,2.5,0.2,0.012,-2.5,-0.1
2016,1,6,NOP,Buddy Hield,University of Oklahoma,1,39,791,357,108,53,0.396,0.382,0.923,20.3,9.2,2.8,1.4,0.5,0.028,-3,-0.2
2016,1,7,DEN,Jamal Murray,University of Kentucky,1,37,752,297,97,65,0.373,0.329,0.822,20.3,8,2.6,1.8,0.2,0.015,-3.2,-0.2
2016,1,8,SAC,Marquesse Chriss,University of Washington,1,38,675,272,130,24,0.426,0.313,0.631,17.8,7.2,3.4,0.6,0.3,0.019,-3.6,-0.3
2016,1,9,TOR,Jakob Poeltl,University of Utah,1,20,214,46,59,4,0.436,,0.522,10.7,2.3,3,0.2,0.4,0.096,-1.3,0
2016,1,10,MIL,Thon Maker,,1,15,68,35,18,1,0.6,0.556,0.6,4.5,2.3,1.2,0.1,0.3,0.199,-2.2,0
2016,1,11,ORL,Domantas Sabonis,Gonzaga University,1,39,826,239,139,47,0.427,0.375,0.8,21.2,6.1,3.6,1.2,0.9,0.052,-3.2,-0.3
2016,1,12,UTA,Taurean Prince,Baylor University,1,22,233,77,47,16,0.386,0.321,0.875,10.6,3.5,2.1,0.7,0.3,0.055,-3,-0.1
2016,1,13,PHO,Georgios Papagiannis,,1,2,9,2,1,0,1,,,4.5,1,0.5,0,0,-0.051,-10.8,0
2016,1,14,CHI,Denzel Valentine,Michigan State University,1,24,282,82,38,15,0.326,0.328,0.875,11.8,3.4,1.6,0.6,0.1,0.018,-4.5,-0.2
2016,1,15,DEN,Juan Hernangomez,,1,25,261,83,61,11,0.448,0.407,0.645,10.4,3.3,2.4,0.4,0.6,0.111,-1,0.1
2016,1,16,BOS,Guerschon Yabusele,,,,,,,,,,,,,,,,,,
2016,1,17,MEM,Wade Baldwin,Vanderbilt University,1,23,304,81,33,48,0.313,0.111,0.844,13.2,3.5,1.4,2.1,-0.2,-0.027,-5.4,-0.3
2016,1,18,DET,Henry Ellenson,Marquette University,1,11,44,13,10,3,0.294,0.273,,4,1.2,0.9,0.3,-0.1,-0.087,-7.9,-0.1
2016,1,19,DEN,Malik Beasley,Florida State University,1,10,55,28,5,3,0.333,0.308,0.667,5.5,2.8,0.5,0.3,0,0.009,-7.6,-0.1
2016,1,20,IND,Caris LeVert,University of Michigan,1,17,293,98,43,26,0.417,0.313,0.684,17.2,5.8,2.5,1.5,0.3,0.054,-2.2,0
2016,1,21,ATL,DeAndre Bembry,Saint Joseph's University,1,14,100,34,14,4,0.484,0,0.5,7.1,2.4,1,0.3,0,0.004,-7.2,-0.1
2016,1,22,CHO,Malachi Richardson,Syracuse University,1,5,32,17,4,2,0.385,0.333,1,6.4,3.4,0.8,0.4,0.1,0.169,-1.3,0
2016,1,23,BOS,Ante Zizic,,,,,,,,,,,,,,,,,,
2016,1,24,PHI,Timothe Luwawu,,1,22,178,50,23,7,0.326,0.286,0.75,8.1,2.3,1,0.3,0,0.007,-6.5,-0.2
